idade,ano,sexo,clientela,populacao
4,2037,1,2,1820581
4,2037,3,1,8178230
4,2037,3,2,1528434
4,2038,1,1,8295111
4,2038,1,2,1824950
4,2038,3,1,8197858
4,2038,3,2,1532102
4,2039,1,1,8312531
4,2039,1,2,1828782
4,2039,3,1,8215074
4,2039,3,2,1535319
4,2040,1,1,8327494
4,2040,1,2,1832074
4,2040,3,1,8229861
4,2040,3,2,1538083
4,2041,1,1,8340818
4,2041,1,2,1835005
4,2041,3,1,8243029
4,2041,3,2,1540544
4,2042,1,1,8351661
4,2042,1,2,1837391
4,2042,3,1,8253745
4,2042,3,2,1542547
4,2043,1,1,8360848
4,2043,1,2,1839412
4,2043,3,1,8262824
4,2043,3,2,1544244
4,2044,1,1,8367537
4,2044,1,2,1840884
4,2044,3,1,8269434
4,2044,3,2,1545479
4,2045,1,1,8372558
4,2045,1,2,1841989
4,2045,3,1,8274396
4,2045,3,2,1546406
4,2046,1,1,8375070
4,2046,1,2,1842542
4,2046,3,1,8276878
4,2046,3,2,1546870
4,2047,1,1,8375908
4,2047,1,2,1842726
4,2047,3,1,8277706
4,2047,3,2,1547025
4,2048,1,1,8374233
4,2048,1,2,1842357
4,2048,3,1,8276050
4,2048,3,2,1546716
4,2049,1,1,8370883
4,2049,1,2,1841620
4,2049,3,1,8272740
4,2049,3,2,1546097
4,2050,1,1,8365023
4,2050,1,2,1840331
4,2050,3,1,8266949
4,2050,3,2,1545015
4,2051,1,1,8357494
4,2051,1,2,1838675
4,2051,3,1,8259509
4,2051,3,2,1543624
4,2052,1,1,8347465
4,2052,1,2,1836469
4,2052,3,1,8249598
4,2052,3,2,1541772
4,2053,1,1,8335779
4,2053,1,2,1833898
4,2053,3,1,8238049
4,2053,3,2,1539614
4,2054,1,1,8322442
4,2054,1,2,1830964
4,2054,3,1,8224868
4,2054,3,2,1537151
4,2055,1,1,8338255
4,2055,1,2,1834443
4,2055,3,1,8240495
4,2055,3,2,1540072
4,2056,1,1,8320745
4,2056,1,2,1830591
4,2056,3,1,8223190
4,2056,3,2,1536838
4,2057,1,1,8300775
4,2057,1,2,1826198
4,2057,3,1,8203454
4,2057,3,2,1533150
4,2058,1,1,8279193
4,2058,1,2,1821450
4,2058,3,1,8182125
4,2058,3,2,1529164
4,2059,1,1,8255183
4,2059,1,2,1816168
4,2059,3,1,8158397
4,2059,3,2,1524729
4,2060,1,1,8229592
4,2060,1,2,1810538
4,2060,3,1,8133106
4,2060,3,2,1520002
5,2013,1,1,6726612
5,2013,1,2,1129661
5,2013,3,1,6939081
5,2013,3,2,1035137
5,2014,1,1,6774705
5,2014,1,2,1065800
5,2014,3,1,6904666
5,2014,3,2,987497
5,2015,1,1,6834518
5,2015,1,2,1120835
5,2015,3,1,6683001
5,2015,3,2,952506
5,2016,1,1,6891244
5,2016,1,2,1130138
5,2016,3,1,6738470
5,2016,3,2,960412
